CHARGER_ID,OSM_ID,geometry,LON,LAT,PLUG_COUNT,PLUG_POWER,CHARGER_TYPE
26,way/49217704,"POLYGON ((12.1855828 50.4682546, 12.1847664 50.4674859, 12.184313 50.4674787, 12.1836 50.4662956, 12.1832727 50.4654862, 12.1832652 50.4651796, 12.1833442 50.4649066, 12.1835775 50.4646623, 12.1844767 50.4641067, 12.1845406 50.4640229, 12.1845557 50.4639343, 12.1842961 50.4628062, 12.1848416 50.4634409, 12.1852178 50.4639893, 12.1855339 50.4644947, 12.1857559 50.4650144, 12.1859515 50.465582, 12.1860719 50.4661041, 12.1861547 50.4666645, 12.1861772 50.4671769, 12.1861735 50.4675841, 12.1861095 50.4679936, 12.1855828 50.4682546))",12.184850768975902,50.46587945425767,5,100,DC
27,way/49219756,"POLYGON ((12.1338468 50.4332265, 12.1344425 50.4340768, 12.1346283 50.4342302, 12.1345204 50.4344127, 12.1342355 50.4344589, 12.1282538 50.4343351, 12.1267076 50.4342947, 12.1263192 50.4342786, 12.1256727 50.4342517, 12.12566 50.4339369, 12.1260275 50.4338938, 12.1264753 50.4337942, 12.1273666 50.4335332, 12.1274693 50.4334351, 12.1276074 50.4332964, 12.1281735 50.4330839, 12.1284016 50.4330274, 12.130518 50.4327421, 12.1313671 50.4327098, 12.1323176 50.4327448, 12.1326936 50.4327825, 12.1333272 50.432917, 12.1336145 50.4330462, 12.1338468 50.4332265))",12.130602761895906,50.4336785195254,5,100,DC
28,way/50089433,"POLYGON ((6.884078 51.5401508, 6.8841281 51.5400441, 6.8844936 51.5399957, 6.8848138 51.5399252, 6.8851604 51.539837, 6.8854256 51.5397648, 6.8859105 51.5395323, 6.8861421 51.5394974, 6.8862734 51.5394648, 6.8864466 51.5395268, 6.8865569 51.5395268, 6.8867249 51.5394452, 6.8868351 51.5393766, 6.8869244 51.5393864, 6.8870136 51.5394517, 6.8871396 51.5395072, 6.8873234 51.5395627, 6.8876016 51.5397815, 6.8880426 51.5398566, 6.8881004 51.5398991, 6.8880741 51.5401146, 6.8879481 51.5404672, 6.8880531 51.5406403, 6.8880161 51.5407808, 6.8879691 51.5407774, 6.884078 51.5401508))",6.886509556416878,51.540080607436515,5,100,DC
29,way/51414380,"POLYGON ((11.5877419 48.5539812, 11.5883395 48.5531245, 11.5885416 48.5531516, 11.5888549 48.5532107, 11.5892334 48.5532922, 11.589578 48.5534868, 11.5895468 48.5536562, 11.5895346 48.5537225, 11.5894134 48.5538835, 11.5889371 48.5546769, 11.5885993 48.5555278, 11.5883221 48.5562752, 11.5881923 48.5570227, 11.5881836 48.5576321, 11.5880921 48.5576381, 11.588045 48.5576436, 11.5877057 48.5574599, 11.5876206 48.5574079, 11.5874907 48.5572698, 11.5872309 48.5569077, 11.5871529 48.5566202, 11.5871789 48.5563557, 11.5872828 48.5559993, 11.5874821 48.5557578, 11.5877506 48.5554128, 11.5878264 48.5551957, 11.5878218 48.5546717, 11.5877419 48.5539812))",11.588235608529212,48.55515156410631,5,100,DC
30,way/51691596,"POLYGON ((14.3819689 52.3207963, 14.3823355 52.319876, 14.3824563 52.3200006, 14.3834199 52.3202132, 14.3837365 52.3197557, 14.3856413 52.3192131, 14.3866096 52.3190913, 14.3868147 52.318989, 14.3871557 52.3189827, 14.3872471 52.3196411, 14.3879614 52.3196095, 14.3883759 52.3197934, 14.389954 52.3197244, 14.3902004 52.3197791, 14.3907576 52.3202501, 14.3913053 52.3205028, 14.3819689 52.3207963))",14.386348850043642,52.3200982424721,5,100,DC
31,way/51691597,"POLYGON ((14.382165 52.3210921, 14.3911594 52.3207191, 14.3911505 52.3209347, 14.3893028 52.3215148, 14.3875504 52.3216127, 14.3875571 52.3219938, 14.3868707 52.3223915, 14.3860521 52.3226085, 14.3855232 52.3226015, 14.3854611 52.3219913, 14.3853571 52.3219357, 14.3848308 52.3219575, 14.3846522 52.3219238, 14.3843565 52.3217848, 14.3834664 52.3218106, 14.3829791 52.3215425, 14.3825047 52.3212308, 14.3822351 52.3212089, 14.382165 52.3210921))",14.386530142161185,52.321440623552796,5,100,DC
32,way/53644421,"POLYGON ((6.9245208 50.8872447, 6.9250916 50.8870978, 6.9252319 50.8870616, 6.9252561 50.8870979, 6.9255118 50.8874803, 6.9259389 50.887908, 6.9267258 50.8887933, 6.9265477 50.8888698, 6.9254603 50.8893371, 6.9246 50.8897321, 6.9245022 50.8897441, 6.9243559 50.8893599, 6.9243247 50.8892654, 6.9242433 50.8890426, 6.9240767 50.8885677, 6.9239332 50.8882175, 6.9239474 50.8881387, 6.9242036 50.8877312, 6.9243478 50.8876562, 6.9245871 50.8875848, 6.9245999 50.8875637, 6.9246605 50.8874632, 6.924545 50.8872826, 6.9245208 50.8872447))",6.925136297860824,50.88843190059645,5,100,DC
33,way/54881504,"POLYGON ((11.4958724 52.1741837, 11.494689 52.1749728, 11.4942691 52.1752608, 11.4942297 52.1752691, 11.4941694 52.1752538, 11.4940022 52.1752113, 11.4913145 52.1737667, 11.4912716 52.1737206, 11.4912877 52.1736868, 11.4913161 52.1736507, 11.4916711 52.1733568, 11.4918129 52.1732514, 11.4919932 52.1730901, 11.4920425 52.1730015, 11.4921225 52.1728963, 11.4922703 52.1728812, 11.4954654 52.1725272, 11.4959293 52.1741248, 11.4958724 52.1741837))",11.493861696350503,52.173762028035156,5,100,DC
34,way/58543624,"POLYGON ((6.7953787 51.126196, 6.7960372 51.1252165, 6.7967666 51.1241314, 6.7971807 51.1234754, 6.7976303 51.1226949, 6.7976572 51.1226042, 6.7977776 51.1226106, 6.7978384 51.1227551, 6.7978802 51.1228696, 6.7979817 51.1231517, 6.7980124 51.1232369, 6.7980027 51.1233043, 6.7979745 51.1233894, 6.7977288 51.1238053, 6.7975736 51.1240649, 6.7978375 51.1242136, 6.7980453 51.1244012, 6.7979685 51.1246254, 6.7975584 51.1253666, 6.7976583 51.12539, 6.7971308 51.1264244, 6.7969964 51.1264229, 6.7964863 51.1262863, 6.7957091 51.1263305, 6.7954355 51.1264147, 6.7952524 51.1263331, 6.7953787 51.126196))",6.796941823953969,51.124944968309286,5,100,DC
35,way/59872382,"POLYGON ((11.3522314 48.2373553, 11.3522595 48.2373353, 11.352995 48.2368059, 11.3531443 48.2366953, 11.3531923 48.2366882, 11.3535936 48.2369085, 11.3536205 48.2369748, 11.3535748 48.237038, 11.353485 48.2371628, 11.3534293 48.2372387, 11.3532961 48.2374227, 11.3533235 48.2374396, 11.353339 48.2374492, 11.3532405 48.2375843, 11.3532879 48.2376429, 11.3531485 48.2377604, 11.3529768 48.2377608, 11.3529063 48.237753, 11.352639 48.2376044, 11.352487 48.2375115, 11.3523839 48.2374485, 11.3522823 48.2373864, 11.3522314 48.2373553))",11.352988888454275,48.23724429850779,5,100,DC
